date,receiver_bank,blood_group,component_type,closing_inventory,safety_stock,deficit_units,transfer_received,inventory_after_transfer,remaining_deficit,transfer_status,donor_bank,recommended_transfer_units,donor_wastage_risk,receiver_risk_score,recommended_action
2024-11-06,BB001,A+,Platelets,7,9.056850622238505,3,3,10.0,0.0,Resolved,BB005,3,0.910736938113947,0.5493222520518304,Transfer recommended
2024-11-07,BB001,A+,Platelets,3,8.96229012334567,6,6,9.0,0.0,Resolved,BB005,6,0.8556266309978939,0.6685421185574838,Transfer recommended
2024-11-08,BB001,A+,Platelets,1,8.921169175833663,8,8,9.0,0.0,Resolved,BB004,8,0.9062409618248634,0.692902010338954,Transfer recommended
2024-11-09,BB001,A+,Platelets,0,8.706782290848563,9,9,9.0,0.0,Resolved,BB005,9,0.9106980396579244,0.6971114348532392,Transfer recommended
2024-11-10,BB001,A+,Platelets,1,7.783247859324192,7,7,8.0,0.0,Resolved,BB005,7,0.8435175117410961,0.7037268034089319,Transfer recommended
2024-11-11,BB001,A+,Platelets,1,7.679070320579441,7,7,8.0,0.0,Resolved,BB005,7,0.8922853634700162,0.7010375865920164,Transfer recommended
2024-11-12,BB001,A+,Platelets,0,9.087344160340217,10,10,10.0,0.0,Resolved,BB005,10,0.930196263024044,0.7117195836850261,Transfer recommended
2024-11-13,BB001,A+,Platelets,0,9.07179667809436,10,10,10.0,0.0,Resolved,BB005,10,0.9415314643716596,0.7178205715649533,Transfer recommended
2024-11-14,BB001,A+,Platelets,4,9.07179667809436,6,6,10.0,0.0,Resolved,BB005,6,0.9419900217043768,0.7191866592064333,Transfer recommended
2024-11-15,BB001,A+,Platelets,0,9.033986621899722,10,10,10.0,0.0,Resolved,BB005,10,0.9196076113518875,0.6754489867012945,Transfer recommended
2024-11-16,BB001,A+,Platelets,1,9.072423561162836,9,9,10.0,0.0,Resolved,BB005,9,0.9300138956024467,0.7171249322589512,Transfer recommended
2024-11-17,BB001,A+,Platelets,5,9.359959482388776,5,5,10.0,0.0,Resolved,BB005,5,0.9391479149617264,0.7017152876479689,Transfer recommended
2024-11-18,BB001,A+,Platelets,0,9.275706649741068,10,10,10.0,0.0,Resolved,BB005,10,0.9510550644958148,0.6523905558148495,Transfer recommended
2024-12-14,BB001,A+,Platelets,8,9.410742447606097,2,2,10.0,0.0,Resolved,BB010,2,0.9474654510400778,0.5970462970871269,Transfer recommended
2024-12-15,BB001,A+,Platelets,0,9.658043190190988,10,10,10.0,0.0,Resolved,BB010,10,0.9474942081134305,0.7073711005637626,Transfer recommended
2024-12-01,BB001,A-,Platelets,0,1.0155395488117855,2,0,0.0,1.0155395488117855,Network Uncovered,,0,0.0,0.0,External replenishment required
2024-12-02,BB001,A-,Platelets,0,1.0155395488117855,2,2,2.0,0.0,Resolved,BB006,2,0.8645510039348548,0.6477886712696073,Transfer recommended
2024-12-03,BB001,A-,Platelets,0,1.0155395488117855,2,0,0.0,1.0155395488117855,Network Uncovered,,0,0.0,0.0,External replenishment required
2024-12-04,BB001,A-,Platelets,0,1.0155395488117855,2,0,0.0,1.0155395488117855,Network Uncovered,,0,0.0,0.0,External replenishment required
2024-12-05,BB001,A-,Platelets,0,1.0155395488117855,2,0,0.0,1.0155395488117855,Network Uncovered,,0,0.0,0.0,External replenishment required
2024-12-18,BB001,A-,Platelets,0,1.122605931963542,2,2,2.0,0.0,Resolved,BB002,2,0.8653425195642237,0.4474658900921027,Transfer recommended
2024-12-19,BB001,A-,Platelets,0,1.0978613922489802,2,0,0.0,1.0978613922489802,Network Uncovered,,0,0.0,0.0,External replenishment required
2024-10-01,BB001,AB+,Platelets,0,3.6646495658549463,4,3,3.0,0.6646495658549463,Resolved,BB003,3,0.9131362799659346,0.4511109536635192,Transfer recommended
