State/UT,Year 2022 - January to July,Year 2021 - January to December,Year 2020 - January to December,Year 2019 - January to December
Andaman and Nicobar Islands,3237,5163,NA,NA
Andhra Pradesh,64670,123693,6105,2353
Arunachal Pradesh,1325,1737,29,56
Assam,26829,19990,NA,NA
Bihar,82725,109399,1736,NA
Chandigarh,91153,166910,NA,NA
Chhattisgarh,90354,157831,7374,427
Daman and Diu,607,1579,NA,NA
Delhi,241351,450401,47575,44953
Goa,17577,20517,NA,NA
Gujarat,392517,620450,3862,4494
Haryana,162150,262869,NA,NA
Himachal Pradesh,13702,10909,10929,NA
Jammu and Kashmir,11331,23768,NA,8934
Jharkhand,48474,98404,3165,NA
Karnataka,284073,437701,14083,26865
Kerala,209962,405793,NA,NA
Ladakh,387,725,3677,520
Madhya Pradesh,220397,210183,22774,23309
Maharashtra,1000907,1609066,NA,NA
Manipur,4764,12814,NA,NA
Meghalaya,11231,17592,NA,NA
Mizoram,1282,2655,NA,NA
Nagaland,362,895,NA,NA
Odisha,50303,71698,12094,NA
Puducherry,3819,10116,NA,NA
Punjab,67060,119797,50516,62603
Rajasthan,82812,82115,NA,NA
Sikkim,564,1008,NA,NA
Tamil Nadu,287241,416463,4612,NA
Telangana,143847,235882,19354,26168
Tripura,19991,35252,NA,NA
Uttarakhand,45706,86664,21128,25629
Uttar Pradesh,401208,725440,48358,59551
West Bengal,246516,389901,35396,52745
Min No. of Blood Banks Reported Blood Issued Data during the period,1070,963,117,90
Max No. of Blood Banks Reported Blood Issued Data during the period,1393,1055,133,113
No of States/UTs,35,35,18,14
