 State/UT,Year 2022 - January to June,Year 2021 - January to December,Year 2020 - January to December,  Year 2019 - January to December,  Year 2018 - January to December
Andaman and Nicobar Islands,2199,3269,NA,NA,NA
Andhra Pradesh,41979,79679,11634,8743,8767
Arunachal Pradesh,1264,1862,88,116,141
Assam,15174,13520,NA,NA,NA
Bihar,119549,137938,2253,NA,NA
Chandigarh,13828,26702,9689,NA,NA
Chhattisgarh,76341,115210,NA,2628,NA
Daman and Diu,505,1379,NA,NA,NA
Delhi,168869,271971,36193,38697,22409
Goa,10790,21195,NA,NA,NA
Gujarat,306829,476746,4093,4328,6483
Haryana,92562,147734,308,NA,NA
Himachal Pradesh,12926,13042,NA,NA,NA
Jammu and Kashmir,22520,40023,36949,24743,NA
Jharkhand,35637,64255,511,NA,NA
Karnataka,164372,241499,16447,23925,19607
Kerala,126345,257095,NA,NA,NA
Ladakh,451,732,507,755,NA
Madhya Pradesh,207811,176550,46783,30641,31887
Maharashtra,569505,864879,NA,NA,NA
Manipur,2859,7842,NA,NA,NA
Meghalaya,7527,12456,NA,NA,NA
Mizoram,2390,2980,NA,NA,NA
Nagaland,326,928,NA,NA,NA
Odisha,47530,86519,5783,NA,NA
Puducherry,5677,15090,NA,NA,NA
Punjab,75695,121222,90853,112324,84486
Rajasthan,74386,58496,NA,NA,51627
Sikkim,2216,1788,NA,NA,NA
Tamil Nadu,162990,220284,3266,NA,NA
Telangana,101898,154123,29086,41736,20013
Tripura,15972,28289,NA,NA,NA
Uttarakhand,39401,66246,30614,44011,34456
Uttar Pradesh,294919,458037,53914,55859,53281
West Bengal,209894,327601,27035,43106,23686
Min No. of Blood Banks Reported Blood Collection Data during the period,1234,1080,145,119,102
Max No. of Blood Banks Reported Blood Collection Data during the period,1595,1199,161,141,129
No of States/UTs,35,35,19,14,12
