S.No,Name of State/UT,Public including Govt. Blood Banks,Private including charitable trust Blood Bank,Total,# Blood Collection for Year 2018-19
1,Andaman & Nicobar,2,1,3,4448
2,Andhra Pradesh,34,135,169,598271
3,Arunachal Pradesh,9,1,10,6029
4,Assam,39,32,71,231927
5,Bihar,35,45,80,222402
6,Chandigarh,3,1,4,92626
7,Chhattisgarh,31,51,82,226360
8,Dadra & Nagar Haveli,NA,1,1,9247
9,Daman & Diu,2,0,2,2582
10,NCT of Delhi,22,38,60,407540
11,Goa,3,3,6,22752
12,Gujarat,28,125,153,908293
13,Haryana,26,79,105,431784
14,Himachal Pradesh,19,3,22,45362
15,Jammu & Kashmir,30,5,35,73763
16,Jharkhand,28,23,51,229518
17,Karnataka,42,174,216,854484
18,Kerala,41,128,169,455350
19,Lakshadweep,1,0,1,NA
20,Madhya Pradesh,61,92,153,553750
21,Maharashtra,76,257,333,1339155
22,Manipur,4,1,5,23257
23,Meghalaya,5,2,7,17033
24,Mizoram,9,2,11,25552
25,Nagaland,5,NA,5,13318
26,Odisha,63,20,83,388992
27,Pondicherry,5,13,18,44579
28,Punjab,51,65,116,438674
29,Rajasthan,61,80,141,821378
30,Sikkim,2,1,3,3789
31,Tamil Nadu,99,194,293,920281
32,Telangana,30,150,180,392892
33,Tripura,11,2,13,27056
34,Uttar Pradesh,105,222,327,1277485
35,Uttarkhand,23,16,39,132679
36,West Bengal,96,45,141,1205718
Total,Total,1101,2007,3108,12448326
