date,blood_bank_id,blood_group,component_type,closing_inventory,predicted_demand,predicted_coverage,spike_risk,inventory_risk,wastage_risk,risk_score,risk_band,donor_bank,recommended_transfer_units,transfer_status,inventory_after_transfer,remaining_deficit,recommended_action,operational_status
2024-10-01,BB001,A+,FFP,324,4.49289858298486,72.11380226275894,0.0811562142422835,0.0004054344970319818,0.0015739665518681746,0.027322975708228732,Medium,,0,No transfer required,,,No immediate action,Stable
2024-10-02,BB001,A+,FFP,330,4.494329442860548,73.42585900644654,0.08330059536227524,0.0003972507629906372,0.0016020302702296268,0.02791264001615398,Medium,,0,No transfer required,,,No immediate action,Stable
2024-10-03,BB001,A+,FFP,330,4.556690332492473,72.42098451300566,0.08102178737187524,0.0003940164290583828,0.0012590345951468828,0.027265174930632654,Medium,,0,No transfer required,,,No immediate action,Stable
2024-10-04,BB001,A+,FFP,328,4.522107201059206,72.53255737130095,0.07784479075055112,0.0003940164290583828,0.0014489298395442723,0.026307827879364774,Medium,,0,No transfer required,,,No immediate action,Stable
2024-10-05,BB001,A+,FFP,327,4.327606244279203,75.56140312725341,0.06302031734108841,0.0003409286471078015,0.0014016084019966971,0.021723413497916635,Low,,0,No transfer required,,,No immediate action,Stable
2024-10-06,BB001,A+,FFP,347,4.461933953146209,77.76896826438288,0.08415829063463529,0.0003409286471078015,0.001890416142625437,0.027989671371665643,Medium,,0,No transfer required,,,No immediate action,Stable
2024-10-07,BB001,A+,FFP,348,4.565201953768212,76.2288292005907,0.08366568808232369,0.0003409286471078015,0.0018983472443905355,0.02789385003202584,Medium,,0,No transfer required,,,No immediate action,Stable
2024-10-08,BB001,A+,FFP,353,4.565201953768212,77.32407099944976,0.08966521524396115,0.00034817090385949416,0.0015105197926414571,0.029660166712805466,Medium,,0,No transfer required,,,No immediate action,Stable
2024-10-09,BB001,A+,FFP,349,4.565201953768212,76.44787756036251,0.08350316807808245,0.00034817090385949416,0.0015279127127728845,0.027841197453445148,Medium,,0,No transfer required,,,No immediate action,Stable
2024-10-10,BB001,A+,FFP,350,4.337966823676047,80.68295914338175,0.0702309165674187,0.0003437273530829465,0.0011669290465388092,0.023719976831724825,Medium,,0,No transfer required,,,No immediate action,Stable
