date,blood_bank_id,blood_group,component_type,opening_inventory,donations_collected,units_discarded_tti,transfers_in,transfers_out,units_requested,units_fulfilled,units_expired,units_wasted,closing_inventory
2023-01-01,BB001,O+,PRBC,102,21,0,0,0,31,31,0,0,92
2023-01-01,BB001,O+,Platelets,45,2,0,0,0,7,7,0,0,40
2023-01-01,BB001,O+,FFP,36,12,0,0,0,13,13,0,0,35
2023-01-01,BB001,B+,PRBC,63,3,0,0,0,19,19,0,0,47
2023-01-01,BB001,B+,Platelets,27,4,0,0,3,3,3,0,0,25
2023-01-01,BB001,B+,FFP,21,6,0,0,0,5,5,0,0,22
2023-01-01,BB001,A+,PRBC,57,5,0,0,0,14,14,0,0,48
2023-01-01,BB001,A+,Platelets,24,4,0,0,0,7,7,0,0,21
2023-01-01,BB001,A+,FFP,21,5,0,0,0,3,3,0,0,23
2023-01-01,BB001,AB+,PRBC,18,5,0,0,0,0,0,0,0,23
2023-01-01,BB001,AB+,Platelets,9,2,0,0,0,1,1,0,0,10
2023-01-01,BB001,AB+,FFP,6,0,0,0,0,1,1,0,0,5
2023-01-01,BB001,O-,PRBC,9,1,0,0,0,3,3,0,0,7
2023-01-01,BB001,O-,Platelets,3,1,0,0,0,1,1,0,0,3
2023-01-01,BB001,O-,FFP,3,0,0,0,0,1,1,0,0,2
2023-01-01,BB001,B-,PRBC,6,1,0,0,0,1,1,0,0,6
2023-01-01,BB001,B-,Platelets,3,0,0,0,0,0,0,0,0,3
2023-01-01,BB001,B-,FFP,0,0,0,0,0,1,0,0,0,0
2023-01-01,BB001,A-,PRBC,6,1,0,0,0,0,0,0,0,7
2023-01-01,BB001,A-,Platelets,3,1,0,0,0,1,1,0,0,3
2023-01-01,BB001,A-,FFP,0,1,0,0,0,0,0,0,0,1
2023-01-01,BB001,AB-,PRBC,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB001,AB-,Platelets,0,1,0,0,0,0,0,0,0,1
2023-01-01,BB001,AB-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB002,O+,PRBC,54,26,0,0,0,24,24,0,0,56
2023-01-01,BB002,O+,Platelets,24,2,0,0,0,1,1,0,0,25
2023-01-01,BB002,O+,FFP,18,3,0,0,0,4,4,0,0,17
2023-01-01,BB002,B+,PRBC,33,26,0,0,0,2,2,0,0,57
2023-01-01,BB002,B+,Platelets,15,3,0,0,0,1,1,0,0,17
2023-01-01,BB002,B+,FFP,12,5,0,0,0,1,1,0,0,16
2023-01-01,BB002,A+,PRBC,30,3,0,0,0,17,17,0,0,16
2023-01-01,BB002,A+,Platelets,12,6,0,0,0,1,1,0,0,17
2023-01-01,BB002,A+,FFP,9,9,0,0,0,1,1,0,0,17
2023-01-01,BB002,AB+,PRBC,9,1,0,0,0,6,6,0,0,4
2023-01-01,BB002,AB+,Platelets,3,0,0,0,3,2,0,0,0,0
2023-01-01,BB002,AB+,FFP,3,2,0,0,0,0,0,0,0,5
2023-01-01,BB002,O-,PRBC,6,1,0,0,0,3,3,0,0,4
2023-01-01,BB002,O-,Platelets,3,0,0,0,0,1,1,0,0,2
2023-01-01,BB002,O-,FFP,0,0,0,0,0,1,0,0,0,0
2023-01-01,BB002,B-,PRBC,3,1,0,0,0,0,0,0,0,4
2023-01-01,BB002,B-,Platelets,0,1,0,0,0,0,0,0,0,1
2023-01-01,BB002,B-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB002,A-,PRBC,3,0,0,0,0,1,1,0,0,2
2023-01-01,BB002,A-,Platelets,0,0,0,0,0,1,0,0,0,0
2023-01-01,BB002,A-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB002,AB-,PRBC,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB002,AB-,Platelets,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB002,AB-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB003,O+,PRBC,102,9,0,0,0,15,15,0,0,96
2023-01-01,BB003,O+,Platelets,45,1,0,0,0,3,3,0,0,43
2023-01-01,BB003,O+,FFP,36,42,0,0,0,8,8,0,0,70
2023-01-01,BB003,B+,PRBC,63,3,0,0,0,14,14,0,0,52
2023-01-01,BB003,B+,Platelets,27,4,0,4,0,5,5,0,0,30
2023-01-01,BB003,B+,FFP,21,5,0,0,0,5,5,0,0,21
2023-01-01,BB003,A+,PRBC,57,8,0,0,0,8,8,0,0,57
2023-01-01,BB003,A+,Platelets,24,16,0,0,0,1,1,0,0,39
2023-01-01,BB003,A+,FFP,21,4,0,0,0,7,7,0,0,18
2023-01-01,BB003,AB+,PRBC,18,25,0,0,0,4,4,0,0,39
2023-01-01,BB003,AB+,Platelets,9,0,0,0,0,3,3,0,0,6
2023-01-01,BB003,AB+,FFP,6,1,0,0,0,0,0,0,0,7
2023-01-01,BB003,O-,PRBC,9,2,0,0,0,3,3,0,0,8
2023-01-01,BB003,O-,Platelets,3,1,0,0,0,2,2,0,0,2
2023-01-01,BB003,O-,FFP,3,2,0,0,0,2,2,0,0,3
2023-01-01,BB003,B-,PRBC,6,2,0,0,0,0,0,0,0,8
2023-01-01,BB003,B-,Platelets,3,0,0,0,0,0,0,0,0,3
2023-01-01,BB003,B-,FFP,0,1,0,0,0,0,0,0,0,1
2023-01-01,BB003,A-,PRBC,6,0,0,0,0,1,1,0,0,5
2023-01-01,BB003,A-,Platelets,3,0,0,0,0,0,0,0,0,3
2023-01-01,BB003,A-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB003,AB-,PRBC,0,1,0,0,0,0,0,0,0,1
2023-01-01,BB003,AB-,Platelets,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB003,AB-,FFP,0,0,0,0,0,0,0,0,0,0
2023-01-01,BB004,O+,PRBC,102,21,0,0,0,14,14,0,0,109
2023-01-01,BB004,O+,Platelets,45,19,0,0,0,20,20,0,0,44
2023-01-01,BB004,O+,FFP,36,2,0,0,0,6,6,0,0,32
2023-01-01,BB004,B+,PRBC,63,21,0,0,0,46,46,0,0,38
2023-01-01,BB004,B+,Platelets,27,0,0,0,0,5,5,0,0,22
2023-01-01,BB004,B+,FFP,21,0,0,0,0,2,2,0,0,19
2023-01-01,BB004,A+,PRBC,57,14,0,0,0,5,5,0,0,66
2023-01-01,BB004,A+,Platelets,24,2,0,0,0,5,5,0,0,21
2023-01-01,BB004,A+,FFP,21,1,0,0,0,6,6,0,0,16
